Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin,quantity,city
Toyota Starlet,39.1,4,79,58,1755,16.9,81,Japan,388,NewYork
Toyota Tercel,37.7,4,89,62,2050,17.3,81,Japan,393,NewYork
Triumph TR7 Coupe,35,4,122,88,2500,15.1,80,Europe,380,NJ
Volkswagen 1131 Deluxe Sedan,26,4,97,46,1835,20.5,70,Europe,63,DALLAS
Volkswagen 411 (sw),22,4,121,76,2511,18,72,Europe,122,TEXAS
Volkswagen Dasher,26,4,79,67,1963,15.5,74,Europe,187,OH
Volkswagen Dasher,25,4,90,71,2223,16.5,75,Europe,217,NewYork
Volkswagen Dasher,30.5,4,97,78,2190,14.1,77,Europe,285,NJ
Volkswagen Dasher (diesel),43.4,4,90,48,2335,23.7,80,Europe,371,DALLAS
Volkswagen Jetta,33,4,105,74,2190,14.2,81,Europe,398,TEXAS
Volkswagen Model 111,27,4,97,60,1834,19,71,Europe,100,OH
Volkswagen Pickup,44,4,97,52,2130,24.6,82,Europe,96,NewYork
Volkswagen Rabbit,29,4,90,70,1937,14,75,Europe,220,NJ
Volkswagen Rabbit,29,4,90,70,1937,14.2,76,Europe,242,DALLAS
Volkswagen Rabbit,29.5,4,97,71,1825,12.2,76,Europe,248,TEXAS
Volkswagen Rabbit,41.5,4,98,76,2144,14.7,80,Europe,354,OH
Volkswagen Rabbit,29.8,4,89,62,1845,15.3,80,Europe,377,NewYork
Volkswagen Rabbit C (Diesel),44.3,4,90,48,2085,21.7,80,Europe,370,NJ
Volkswagen Rabbit Custom,29,4,97,78,1940,14.5,77,Europe,278,DALLAS
Volkswagen Rabbit Custom,31.9,4,89,71,1925,14,79,Europe,338,TEXAS
Volkswagen Rabbit Custom Diesel,43.1,4,90,48,1985,21.5,78,Europe,289,NewYork
Volkswagen Rabbit l,36,4,105,74,1980,15.3,82,Europe,421,NJ
Volkswagen Scirocco,31.5,4,89,71,1990,14.9,78,Europe,323,DALLAS
Volkswagen Super Beetle,26,4,97,46,1950,21,73,Europe,147,TEXAS
Volkswagen Super Beetle 117,0,4,97,48,1978,20,71,Europe,77,OH
Volkswagen Type 3,23,4,97,54,2254,23.5,72,Europe,104,NewYork
Volvo 144ea,19,4,121,112,2868,15.5,73,Europe,165,NJ
Volvo 145e (sw),18,4,121,112,2933,14.5,72,Europe,121,DALLAS
Volvo 244DL,22,4,121,98,2945,14.5,75,Europe,4,TEXAS
Volvo 245,20,4,130,102,3150,15.7,76,Europe,7,OH
Volvo 264gl,17,6,163,125,3140,13.6,78,Europe,320,NewYork
Volvo Diesel,30.7,6,145,76,3160,19.6,81,Europe,406,NJ
